iteration	commit	target_metric	secondary_metrics	status	description	comparison
0	formula-v00	0.014203	growth_mae=0.015153;max_growth_abs_error=0.043667;cases=32;periods=2;candidates_per_period=16	keep	existing generic weighted scenario formula	baseline
1	formula-v01	0.013834	growth_mae=0.014753;max_growth_abs_error=0.043667;cases=32;periods=2;candidates_per_period=16	keep	room_1 +0.002	improved
2	formula-v02	0.013493	growth_mae=0.014383;max_growth_abs_error=0.043342;cases=32;periods=2;candidates_per_period=16	keep	w_migration_security -0.050	improved
3	formula-v03	0.013292	growth_mae=0.014174;max_growth_abs_error=0.043342;cases=32;periods=2;candidates_per_period=16	keep	room_3 -0.002	improved
4	formula-v04	0.013090	growth_mae=0.013966;max_growth_abs_error=0.043342;cases=32;periods=2;candidates_per_period=16	keep	room_3 -0.002	improved
5	formula-v05	0.012889	growth_mae=0.013758;max_growth_abs_error=0.043342;cases=32;periods=2;candidates_per_period=16	keep	room_3 -0.002	improved
6	formula-v06	0.012696	growth_mae=0.013549;max_growth_abs_error=0.041175;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
7	formula-v07	0.012503	growth_mae=0.013341;max_growth_abs_error=0.039008;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
8	formula-v08	0.012310	growth_mae=0.013133;max_growth_abs_error=0.036842;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
9	formula-v09	0.012118	growth_mae=0.012924;max_growth_abs_error=0.034675;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
10	formula-v10	0.011925	growth_mae=0.012716;max_growth_abs_error=0.032508;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
11	formula-v11	0.011732	growth_mae=0.012508;max_growth_abs_error=0.030342;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
12	formula-v12	0.011540	growth_mae=0.012299;max_growth_abs_error=0.028175;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
13	formula-v13	0.011347	growth_mae=0.012091;max_growth_abs_error=0.026008;cases=32;periods=2;candidates_per_period=16	keep	room_2 +0.002	improved
14	formula-v14	0.011178	growth_mae=0.011905;max_growth_abs_error=0.026008;cases=32;periods=2;candidates_per_period=16	keep	unrenovated +0.002	improved
15	formula-v15	0.011007	growth_mae=0.011729;max_growth_abs_error=0.026008;cases=32;periods=2;candidates_per_period=16	keep	room_3 -0.002	improved
16	formula-v16	0.010848	growth_mae=0.011558;max_growth_abs_error=0.025467;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
17	formula-v17	0.010688	growth_mae=0.011388;max_growth_abs_error=0.024925;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
18	formula-v18	0.010502	growth_mae=0.011191;max_growth_abs_error=0.024925;cases=32;periods=2;candidates_per_period=16	keep	room_1 +0.002	improved
19	formula-v19	0.010135	growth_mae=0.010791;max_growth_abs_error=0.024600;cases=32;periods=2;candidates_per_period=16	keep	w_migration_security -0.050	improved
20	formula-v20	0.009916	growth_mae=0.010554;max_growth_abs_error=0.024058;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
21	formula-v21	0.009711	growth_mae=0.010331;max_growth_abs_error=0.023517;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
22	formula-v22	0.009548	growth_mae=0.010163;max_growth_abs_error=0.023517;cases=32;periods=2;candidates_per_period=16	keep	room_3 -0.002	improved
23	formula-v23	0.009397	growth_mae=0.010001;max_growth_abs_error=0.022975;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
24	formula-v24	0.009251	growth_mae=0.009845;max_growth_abs_error=0.022433;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
25	formula-v25	0.009102	growth_mae=0.009689;max_growth_abs_error=0.022433;cases=32;periods=2;candidates_per_period=16	keep	room_1 +0.002	improved
26	formula-v26	0.008737	growth_mae=0.009291;max_growth_abs_error=0.022108;cases=32;periods=2;candidates_per_period=16	keep	w_migration_security -0.050	improved
27	formula-v27	0.008529	growth_mae=0.009066;max_growth_abs_error=0.021567;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
28	formula-v28	0.008324	growth_mae=0.008843;max_growth_abs_error=0.021025;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
29	formula-v29	0.008151	growth_mae=0.008655;max_growth_abs_error=0.020483;cases=32;periods=2;candidates_per_period=16	keep	w_liquidity +0.050	improved
30	formula-v30	0.007980	growth_mae=0.008479;max_growth_abs_error=0.020483;cases=32;periods=2;candidates_per_period=16	keep	room_3 -0.002	improved
31	formula-v31	0.010916	growth_mae=0.011125;max_growth_abs_error=0.044850;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved_after_adding_holdout
32	formula-v32	0.010815	growth_mae=0.011018;max_growth_abs_error=0.044933;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved
33	formula-v33	0.010715	growth_mae=0.010916;max_growth_abs_error=0.044933;cases=48;periods=3;candidates_per_period=16	keep	room_3 -0.002	improved
34	formula-v34	0.010613	growth_mae=0.010807;max_growth_abs_error=0.045017;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved
35	formula-v35	0.010474	growth_mae=0.010651;max_growth_abs_error=0.045050;cases=48;periods=3;candidates_per_period=16	keep	w_fx +0.050	improved
36	formula-v36	0.010303	growth_mae=0.010465;max_growth_abs_error=0.045133;cases=48;periods=3;candidates_per_period=16	keep	w_migration_security -0.050	improved
37	formula-v37	0.010203	growth_mae=0.010358;max_growth_abs_error=0.045217;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved
38	formula-v38	0.010104	growth_mae=0.010252;max_growth_abs_error=0.045300;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved
39	formula-v39	0.010000	growth_mae=0.010134;max_growth_abs_error=0.045333;cases=48;periods=3;candidates_per_period=16	keep	w_fx +0.050	improved
40	formula-v40	0.009859	growth_mae=0.009981;max_growth_abs_error=0.045417;cases=48;periods=3;candidates_per_period=16	keep	w_migration_security -0.050	improved
41	formula-v41	0.009734	growth_mae=0.009852;max_growth_abs_error=0.045417;cases=48;periods=3;candidates_per_period=16	keep	room_3 -0.002	improved
42	formula-v42	0.009655	growth_mae=0.009772;max_growth_abs_error=0.045417;cases=48;periods=3;candidates_per_period=16	keep	room_3 -0.002	improved
43	formula-v43	0.009588	growth_mae=0.009700;max_growth_abs_error=0.045500;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved
44	formula-v44	0.009520	growth_mae=0.009628;max_growth_abs_error=0.045583;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved
45	formula-v45	0.009459	growth_mae=0.009564;max_growth_abs_error=0.045667;cases=48;periods=3;candidates_per_period=16	keep	w_liquidity +0.050	improved
46	formula-v46	0.009386	growth_mae=0.009490;max_growth_abs_error=0.045333;cases=48;periods=3;candidates_per_period=16	keep	unrenovated -0.002	improved
47	formula-v47	0.009331	growth_mae=0.009434;max_growth_abs_error=0.045333;cases=48;periods=3;candidates_per_period=16	keep	room_3 -0.002	improved
48	formula-v48	0.009276	growth_mae=0.009378;max_growth_abs_error=0.045333;cases=48;periods=3;candidates_per_period=16	keep	room_3 -0.002	improved
49	formula-v49	0.009222	growth_mae=0.009323;max_growth_abs_error=0.045333;cases=48;periods=3;candidates_per_period=16	keep	room_3 -0.002	improved
50	formula-v50	0.009167	growth_mae=0.009267;max_growth_abs_error=0.045333;cases=48;periods=3;candidates_per_period=16	keep	room_3 -0.002	improved
